VfL Wolfsburg;FC St. Pauli;2;2;0;10263;1302967800000
1. FSV Mainz 05;Bor. Mönchengladbach;1;0;0;10264;1302899400000
1899 Hoffenheim;Eintracht Frankfurt;1;0;0;10265;1302967800000
1. FC Köln;VfB Stuttgart;1;3;0;10266;1302967800000
1. FC Kaiserslautern;1. FC Nürnberg;0;2;0;10267;1302967800000
FC Schalke 04;1. FC Kaiserslautern;0;1;0;10268;1303572600000
Bayer Leverkusen;1899 Hoffenheim;2;1;0;10269;1303572600000
VfB Stuttgart;Hamburger SV;3;0;0;10270;1303572600000
VfL Wolfsburg;1. FC Köln;4;1;0;10271;1303659000000
Eintracht Frankfurt;FC Bayern München;1;1;0;10272;1303572600000
Bor. Mönchengladbach;Borussia Dortmund;1;0;0;10273;1303583400000
SC Freiburg;Hannover 96;1;3;0;10274;1303417800000
1. FC Nürnberg;1. FSV Mainz 05;0;0;52;10275;1303666200000
FC St. Pauli;Werder Bremen;1;3;0;10276;1303572600000
FC Bayern München;FC Schalke 04;4;1;0;10277;1304188200000
Werder Bremen;VfL Wolfsburg;0;1;0;10278;1304109000000
Borussia Dortmund;1. FC Nürnberg;2;0;0;10279;1304177400000
Hamburger SV;SC Freiburg;0;2;0;10280;1304177400000
1. FSV Mainz 05;Eintracht Frankfurt;3;0;0;10281;1304177400000
1899 Hoffenheim;VfB Stuttgart;1;2;0;10282;1304177400000
1. FC Köln;Bayer Leverkusen;2;0;0;10283;1304177400000
Hannover 96;Bor. Mönchengladbach;0;1;0;10284;1304177400000
1. FC Kaiserslautern;FC St. Pauli;2;0;0;10285;1304109000000
FC Schalke 04;1. FSV Mainz 05;1;3;0;10286;1304782200000
Werder Bremen;Borussia Dortmund;2;0;0;10287;1304782200000
Bayer Leverkusen;Hamburger SV;1;1;0;10288;1304782200000
VfB Stuttgart;Hannover 96;2;1;0;10289;1304782200000
VfL Wolfsburg;1. FC Kaiserslautern;1;2;0;10290;1304782200000
Eintracht Frankfurt;1. FC Köln;0;2;0;10291;1304782200000
Bor. Mönchengladbach;SC Freiburg;2;0;0;10292;1304782200000
1. FC Nürnberg;1899 Hoffenheim;1;2;0;10293;1304782200000
FC St. Pauli;FC Bayern München;1;8;0;10294;1304782200000
FC Bayern München;VfB Stuttgart;2;1;0;10295;1305387000000
Borussia Dortmund;Eintracht Frankfurt;3;1;0;10296;1305387000000
Hamburger SV;Bor. Mönchengladbach;1;1;0;10297;1305387000000
1. FSV Mainz 05;FC St. Pauli;2;1;0;10298;1305387000000
1899 Hoffenheim;VfL Wolfsburg;1;3;0;10299;1305387000000
1. FC Köln;FC Schalke 04;2;1;0;10300;1305387000000
SC Freiburg;Bayer Leverkusen;0;1;0;10301;1305387000000
Hannover 96;1. FC Nürnberg;3;1;0;10302;1305387000000
1. FC Kaiserslautern;Werder Bremen;3;2;0;10303;1305387000000
